module	path	ast_fanin	text_mentions	distributions	core_by_threshold	undercounted	in_core_paths
parrot.conf	packages/ai-parrot/src/parrot/conf.py	1162	112	ai-parrot,ai-parrot-advisors,ai-parrot-client-amazon,ai-parrot-client-anthropic,ai-parrot-client-gemma4,ai-parrot-client-google,ai-parrot-client-grok,ai-parrot-client-groq,ai-parrot-client-hf,ai-parrot-client-local,ai-parrot-client-meta,ai-parrot-client-moonshot,ai-parrot-client-nvidia,ai-parrot-client-openai,ai-parrot-client-openrouter,ai-parrot-client-vllm,ai-parrot-client-zai,ai-parrot-embeddings,ai-parrot-integrations,ai-parrot-loaders,ai-parrot-pipelines,ai-parrot-server,ai-parrot-tools,ai-parrot-visualizations,parrot-formdesigner	True	False	False
parrot._imports	packages/ai-parrot/src/parrot/_imports.py	1025	52	ai-parrot,ai-parrot-advisors,ai-parrot-client-amazon,ai-parrot-client-anthropic,ai-parrot-client-gemma4,ai-parrot-client-google,ai-parrot-client-grok,ai-parrot-client-groq,ai-parrot-client-hf,ai-parrot-client-local,ai-parrot-client-meta,ai-parrot-client-moonshot,ai-parrot-client-nvidia,ai-parrot-client-openai,ai-parrot-client-openrouter,ai-parrot-client-vllm,ai-parrot-client-zai,ai-parrot-embeddings,ai-parrot-integrations,ai-parrot-loaders,ai-parrot-pipelines,ai-parrot-server,ai-parrot-tools,ai-parrot-visualizations,parrot-formdesigner	True	False	False
parrot.models.basic	packages/ai-parrot/src/parrot/models/basic.py	1008	8	ai-parrot,ai-parrot-advisors,ai-parrot-client-amazon,ai-parrot-client-anthropic,ai-parrot-client-gemma4,ai-parrot-client-google,ai-parrot-client-grok,ai-parrot-client-groq,ai-parrot-client-hf,ai-parrot-client-local,ai-parrot-client-meta,ai-parrot-client-moonshot,ai-parrot-client-nvidia,ai-parrot-client-openai,ai-parrot-client-openrouter,ai-parrot-client-vllm,ai-parrot-client-zai,ai-parrot-embeddings,ai-parrot-integrations,ai-parrot-loaders,ai-parrot-pipelines,ai-parrot-server,ai-parrot-tools,ai-parrot-visualizations,parrot-formdesigner	True	False	False
parrot.models.outputs	packages/ai-parrot/src/parrot/models/outputs.py	1003	23	ai-parrot,ai-parrot-advisors,ai-parrot-client-amazon,ai-parrot-client-anthropic,ai-parrot-client-gemma4,ai-parrot-client-google,ai-parrot-client-grok,ai-parrot-client-groq,ai-parrot-client-hf,ai-parrot-client-local,ai-parrot-client-meta,ai-parrot-client-moonshot,ai-parrot-client-nvidia,ai-parrot-client-openai,ai-parrot-client-openrouter,ai-parrot-client-vllm,ai-parrot-client-zai,ai-parrot-embeddings,ai-parrot-integrations,ai-parrot-loaders,ai-parrot-pipelines,ai-parrot-server,ai-parrot-tools,ai-parrot-visualizations,parrot-formdesigner	True	False	False
parrot.models.stores	packages/ai-parrot/src/parrot/models/stores.py	993	11	ai-parrot,ai-parrot-advisors,ai-parrot-client-amazon,ai-parrot-client-anthropic,ai-parrot-client-gemma4,ai-parrot-client-google,ai-parrot-client-grok,ai-parrot-client-groq,ai-parrot-client-hf,ai-parrot-client-local,ai-parrot-client-meta,ai-parrot-client-moonshot,ai-parrot-client-nvidia,ai-parrot-client-openai,ai-parrot-client-openrouter,ai-parrot-client-vllm,ai-parrot-client-zai,ai-parrot-embeddings,ai-parrot-integrations,ai-parrot-loaders,ai-parrot-pipelines,ai-parrot-server,ai-parrot-tools,ai-parrot-visualizations,parrot-formdesigner	True	False	False
parrot.exceptions	packages/ai-parrot/src/parrot/exceptions.py	976	12	ai-parrot,ai-parrot-advisors,ai-parrot-client-amazon,ai-parrot-client-anthropic,ai-parrot-client-gemma4,ai-parrot-client-google,ai-parrot-client-grok,ai-parrot-client-groq,ai-parrot-client-hf,ai-parrot-client-local,ai-parrot-client-meta,ai-parrot-client-moonshot,ai-parrot-client-nvidia,ai-parrot-client-openai,ai-parrot-client-openrouter,ai-parrot-client-vllm,ai-parrot-client-zai,ai-parrot-embeddings,ai-parrot-integrations,ai-parrot-loaders,ai-parrot-pipelines,ai-parrot-server,ai-parrot-tools,ai-parrot-visualizations,parrot-formdesigner	True	False	False
parrot.models.responses	packages/ai-parrot/src/parrot/models/responses.py	971	29	ai-parrot,ai-parrot-advisors,ai-parrot-client-amazon,ai-parrot-client-anthropic,ai-parrot-client-gemma4,ai-parrot-client-google,ai-parrot-client-grok,ai-parrot-client-groq,ai-parrot-client-hf,ai-parrot-client-local,ai-parrot-client-meta,ai-parrot-client-moonshot,ai-parrot-client-nvidia,ai-parrot-client-openai,ai-parrot-client-openrouter,ai-parrot-client-vllm,ai-parrot-client-zai,ai-parrot-embeddings,ai-parrot-integrations,ai-parrot-loaders,ai-parrot-pipelines,ai-parrot-server,ai-parrot-tools,ai-parrot-visualizations,parrot-formdesigner	True	False	False
parrot.models.infographic	packages/ai-parrot/src/parrot/models/infographic.py	969	9	ai-parrot,ai-parrot-advisors,ai-parrot-client-amazon,ai-parrot-client-anthropic,ai-parrot-client-gemma4,ai-parrot-client-google,ai-parrot-client-grok,ai-parrot-client-groq,ai-parrot-client-hf,ai-parrot-client-local,ai-parrot-client-meta,ai-parrot-client-moonshot,ai-parrot-client-nvidia,ai-parrot-client-openai,ai-parrot-client-openrouter,ai-parrot-client-vllm,ai-parrot-client-zai,ai-parrot-embeddings,ai-parrot-integrations,ai-parrot-loaders,ai-parrot-pipelines,ai-parrot-server,ai-parrot-tools,ai-parrot-visualizations,parrot-formdesigner	True	False	False
parrot.outputs.a2ui.models	packages/ai-parrot/src/parrot/outputs/a2ui/models.py	969	51	ai-parrot,ai-parrot-advisors,ai-parrot-client-amazon,ai-parrot-client-anthropic,ai-parrot-client-gemma4,ai-parrot-client-google,ai-parrot-client-grok,ai-parrot-client-groq,ai-parrot-client-hf,ai-parrot-client-local,ai-parrot-client-meta,ai-parrot-client-moonshot,ai-parrot-client-nvidia,ai-parrot-client-openai,ai-parrot-client-openrouter,ai-parrot-client-vllm,ai-parrot-client-zai,ai-parrot-embeddings,ai-parrot-integrations,ai-parrot-loaders,ai-parrot-pipelines,ai-parrot-server,ai-parrot-tools,ai-parrot-visualizations,parrot-formdesigner	True	False	False
parrot.embeddings.catalog	packages/ai-parrot/src/parrot/embeddings/catalog.py	965	1	ai-parrot,ai-parrot-advisors,ai-parrot-client-amazon,ai-parrot-client-anthropic,ai-parrot-client-gemma4,ai-parrot-client-google,ai-parrot-client-grok,ai-parrot-client-groq,ai-parrot-client-hf,ai-parrot-client-local,ai-parrot-client-meta,ai-parrot-client-moonshot,ai-parrot-client-nvidia,ai-parrot-client-openai,ai-parrot-client-openrouter,ai-parrot-client-vllm,ai-parrot-client-zai,ai-parrot-embeddings,ai-parrot-integrations,ai-parrot-loaders,ai-parrot-pipelines,ai-parrot-server,ai-parrot-tools,ai-parrot-visualizations,parrot-formdesigner	True	False	False
